"flag","country","team","participations","average_points"
":ro:","Romania","CFR Cluj",11,6.27272727272727
":gb-eng:","England","Chelsea",31,17.241935483871
":gb-nir:","Northern Ireland","Cliftonville",12,0.541666666666667
":be:","Belgium","Club Brugge",51,6.93137254901961
":gb-nir:","Northern Ireland","Coleraine",18,0.805555555555556
":ie:","Ireland","Cork City",15,1.03333333333333
":gb-nir:","Northern Ireland","Crusaders Belfast",20,0.75
":rs:","Serbia","Crvena zvezda",60,6.26666666666667
":lu:","Luxembourg","CS Fola Esch",12,0.958333333333333
":lu:","Luxembourg","CS Grevenmacher",13,0.5
":ru:","Russia","CSKA Moscow",27,8.07407407407407
":bg:","Bulgaria","CSKA Sofia",48,4.04166666666667
":md:","Moldova","Dacia Chisinau",10,1.15
":es:","Spain","Deportivo La Coruña",11,10.7727272727273
":gb-nir:","Northern Ireland","Derry City",18,0.916666666666667
":lu:","Luxembourg","Differdange 03",11,1.18181818181818
":ro:","Romania","Dinamo Bucuresti",45,3.45555555555556
":by:","Belarus","Dinamo Minsk",27,3.46296296296296
":ru:","Russia","Dinamo Moscow",22,5.40909090909091
":ge:","Georgia","Dinamo Tbilisi",36,3.69444444444444
":al:","Albania","Dinamo Tirana",16,1.03125
":se:","Sweden","Djurgårdens IF",20,2
":ua:","Ukraine","Dnipro Dnipropetrovsk",14,6.71428571428571
,"Czechoslovakia","Dukla Praha",22,5.04545454545455
":ie:","Ireland","Dundalk",25,1.7
":gb-sct:","Scotland","Dundee United",27,4.7037037037037
":hu:","Hungary","DVSC Debrecen",15,2.9
,"East Germany","Dynamo Dresden",20,5.9
":ua:","Ukraine","Dynamo Kyiv",52,9.06730769230769
":de:","Germany","Eintracht Frankfurt",24,9.70833333333333
":lt:","Lithuania","Ekranas Panevezys",14,1.07142857142857
":dk:","Denmark","Esbjerg fB",13,3
":es:","Spain","Espanyol",10,10.35
":hu:","Hungary","ETO Györ",15,3.53333333333333
":gb-eng:","England","Everton",17,6.58823529411765
":lu:","Luxembourg","F91 Dudelange",25,1.2
":lt:","Lithuania","FBK Kaunas",11,1.72727272727273
":es:","Spain","FC Barcelona",65,15.3384615384615
":ch:","Switzerland","FC Basel",38,7.71052631578947
":nl:","Netherlands","FC Groningen",10,3.05
":dk:","Denmark","FC København",28,7.625
":ch:","Switzerland","FC Luzern",14,1.10714285714286
":dk:","Denmark","FC Midtjylland",16,3.96875
":fr:","France","FC Nantes",22,5.27272727272727
":pt:","Portugal","FC Porto",61,9.94262295081967
":at:","Austria","FC Salzburg",18,9.86111111111111
":ad:","Andorra","FC Santa Coloma",18,0.5
":ch:","Switzerland","FC Sion",21,3.38095238095238
":at:","Austria","FC Tirol Innsbruck",12,4.625
":nl:","Netherlands","FC Twente Enschede",24,6.22916666666667
":nl:","Netherlands","FC Utrecht",14,3
":li:","Liechtenstein","FC Vaduz",27,1.2037037037037
":ch:","Switzerland","FC Zürich",31,3.98387096774194
":tr:","Turkey","Fenerbahçe",46,4.73913043478261
":hu:","Hungary","Ferencváros",46,4.97826086956522
":nl:","Netherlands","Feyenoord",49,6.91836734693878
":is:","Iceland","FH Hafnarfjardar",20,1.7
":it:","Italy","Fiorentina",31,8.40322580645161
":kz:","Kazakhstan","FK Aktobe",11,1.86363636363636
":kz:","Kazakhstan","FK Astana",10,5.6
":cz:","Czech Republic","FK Jablonec",11,2.40909090909091
":ba:","Bosnia-Herzegovina","FK Sarajevo",21,2.04761904761905
":lv:","Latvia","FK Ventspils",21,1.66666666666667
":ee:","Estonia","Flora Tallinn",28,1.07142857142857
":mt:","Malta","Floriana",26,0.653846153846154
":is:","Iceland","Fram Reykjavik",18,0.888888888888889
":tr:","Turkey","Galatasaray",48,6.76041666666667
":fr:","France","Girondins Bordeaux",34,7.79411764705882
":pl:","Poland","GKS Katowice",12,2.16666666666667
":gb-nir:","Northern Ireland","Glenavon",15,0.733333333333333
":gb-nir:","Northern Ireland","Glentoran",45,0.922222222222222
":hr:","Croatia","GNK Dinamo",51,6.37254901960784
":pl:","Poland","Górnik Zabrze",20,3.975
":ch:","Switzerland","Grasshoppers Zürich",39,3.97435897435897
":at:","Austria","Grazer AK",15,3.26666666666667
":hr:","Croatia","Hajduk Split",47,4.03191489361702
":fi:","Finland","Haka Valkeakoski",22,1.61363636363636
":de:","Germany","Hamburger SV",28,10.0357142857143
":de:","Germany","Hannover 96",10,4.75
":il:","Israel","Hapoel Beer-Sheva",12,4.08333333333333
":il:","Israel","Hapoel Tel-Aviv",16,5.71875
":fo:","Faroe Islands","HB Torshavn",22,0.727272727272727
":gb-sct:","Scotland","Hearts FC",23,2.93478260869565
":nl:","Netherlands","Heerenveen",10,4.6
":se:","Sweden","Helsingborg IF",10,5.25
":de:","Germany","Hertha BSC",18,6.69444444444444
":gb-sct:","Scotland","Hibernian",23,4.41304347826087
":mt:","Malta","Hibernians FC",35,0.771428571428571
":fi:","Finland","HJK Helsinki",39,2.35897435897436
":hu:","Hungary","Honvéd Budapest",30,3.6
":is:","Iceland","IA Akranes",27,1.11111111111111
":is:","Iceland","IBV Vestmannaeyjar",19,0.868421052631579
":se:","Sweden","IF Elfsborg",17,2.91176470588235
":se:","Sweden","IFK Göteborg",33,5.09090909090909
":se:","Sweden","IFK Norrköping",19,2.60526315789474
":it:","Italy","Internazionale",56,11.4017857142857
":gb-eng:","England","Ipswich Town",12,7.25
":lu:","Luxembourg","Jeunesse d'Esch",37,0.689189189189189
":it:","Italy","Juventus",59,13.8813559322034
":kz:","Kazakhstan","Kairat Almaty",12,2.41666666666667
":ee:","Estonia","Kalju Nomme",11,1.27272727272727
":dk:","Denmark","KB København",10,2
":is:","Iceland","Keflavik",14,0.607142857142857
":al:","Albania","KF Tirana",20,0.825
":fo:","Faroe Islands","KI Klaksvik",13,1.19230769230769
":gb-sct:","Scotland","Kilmarnock",10,3.55
":is:","Iceland","KR Reykjavik",30,1.15
":al:","Albania","KS Flamurtari Vlorë",11,1.18181818181818
":fi:","Finland","KuPS Kuopio",15,1.73333333333333
":fi:","Finland","Kuusysi Lahti",11,1.90909090909091
":sm:","San Marino","La Fiorita",11,0.136363636363636
":at:","Austria","LASK",14,4.46428571428571
":ch:","Switzerland","Lausanne Sports",22,2.27272727272727
":it:","Italy","Lazio",28,9.66071428571429
":pl:","Poland","Lech Poznan",22,3.93181818181818
":gb-eng:","England","Leeds United",18,11.5
":pl:","Poland","Legia Warsaw",40,5.5875
":ee:","Estonia","Levadia Tallinn",20,1.2
":bg:","Bulgaria","Levski-Spartak Sofia",15,3.73333333333333
":bg:","Bulgaria","Levski Sofia",34,3.02941176470588
":fr:","France","Lille OSC",13,9.88461538461539
":no:","Norway","Lillestrøm SK",19,2
":gb-nir:","Northern Ireland","Linfield Belfast",49,1.29591836734694
":bg:","Bulgaria","Litex Lovech",15,3.2
":gb-eng:","England","Liverpool",47,14.2659574468085
":ru:","Russia","Lokomotiv Moscow",22,6.52272727272727
":bg:","Bulgaria","Lokomotiv Plovdiv",18,1.72222222222222
":bg:","Bulgaria","Lokomotiv Sofia",13,3.15384615384615
,"East Germany","Lokomotive Leipzig",15,5.53333333333333
":bg:","Bulgaria","Ludogorets Razgrad",11,7.81818181818182
":no:","Norway","Lyn Oslo",10,1.6
":il:","Israel","Maccabi Haifa",21,4.76190476190476
":il:","Israel","Maccabi Tel-Aviv",23,5.45652173913043
":se:","Sweden","Malmö FF",42,4.13095238095238
":gb-eng:","England","Manchester City",22,14.9090909090909
":gb-eng:","England","Manchester United",45,15.0111111111111
":lv:","Latvia","Metalurgs Liepaja",15,1.3
":am:","Armenia","Mika Ashtarak",11,0.545454545454545
":no:","Norway","Molde FK",20,4.025
":gb-sct:","Scotland","Motherwell",11,1.54545454545455
":sk:","Slovakia","MSK Zilina",15,3.03333333333333
":hu:","Hungary","MTK Budapest",20,3.8
":fi:","Finland","MyPa-47",14,2
":it:","Italy","Napoli",34,8.57352941176471
":az:","Azerbaijan","Neftchi Baku",20,1.75
":gb-eng:","England","Newcastle United",14,11.7857142857143
":si:","Slovenia","NK Domzale",12,2.5
":si:","Slovenia","NK Maribor",27,3.83333333333333
":hr:","Croatia","NK Osijek",12,2.45833333333333
":hr:","Croatia","NK Rijeka",20,3.2
":si:","Slovenia","Nova Gorica",15,1.03333333333333
":fo:","Faroe Islands","NSI Runavik",14,0.392857142857143
":dk:","Denmark","OB Odense",15,4.06666666666667
":rs:","Serbia","OFK Belgrade",11,3.63636363636364
":fr:","France","OGC Nice",13,3.38461538461538
":si:","Slovenia","Olimpija Ljubljana",23,2.21739130434783
":gr:","Greece","Olympiakos Piraeus",57,6.17543859649123
":fr:","France","Olympique Lyonnais",36,11.3194444444444
":fr:","France","Olympique Marseille",33,9.53030303030303
":cy:","Cyprus","Omonia Nicosia",44,2.10227272727273
":se:","Sweden","Östers IF",14,1.5
":gr:","Greece","Panathinaikos",51,5.44117647058824
":gr:","Greece","PAOK Thessaloniki",41,4.68292682926829
":fr:","France","Paris Saint-Germain",31,14.0322580645161
":rs:","Serbia","Partizan Belgrade",47,5.04255319148936
":al:","Albania","Partizani Tirana",24,0.979166666666667
":ro:","Romania","Petrolul Ploiesti",11,3.27272727272727
":gb-nir:","Northern Ireland","Portadown",15,0.766666666666667
":lu:","Luxembourg","Progrès Niederkorn",10,0.95
":nl:","Netherlands","PSV Eindhoven",54,8.61111111111111
":am:","Armenia","Pyunik Yerevan",19,1.26315789473684
":az:","Azerbaijan","Qarabag FK",18,5.27777777777778
":mk:","North Macedonia","Rabotnicki Skopje",13,2.19230769230769
":be:","Belgium","Racing Genk",15,6.93333333333333
":gb-sct:","Scotland","Rangers",57,7.46491228070175
":ro:","Romania","Rapid Bucuresti",21,4.04761904761905
":at:","Austria","Rapid Wien",54,4.98148148148148
":fr:","France","RC Lens",13,6.80769230769231
":fr:","France","RC Strasbourg",11,5.54545454545455
":es:","Spain","Real Betis",13,7.34615384615385
":es:","Spain","Real Madrid",66,15.0606060606061
":es:","Spain","Real Sociedad",18,5.55555555555556
":es:","Spain","Real Zaragoza",18,8.05555555555556
":lu:","Luxembourg","Red Boys Differdange",10,0.3
":fi:","Finland","Reipas Lahti",10,1.1
":no:","Norway","Rosenborg BK",40,5.475
":be:","Belgium","Royal Antwerp",18,3.77777777777778
":pl:","Poland","Ruch Chorzow",13,3.15384615384615
":it:","Italy","Sampdoria",13,7.88461538461539
":ad:","Andorra","Sant Julià",11,0.318181818181818
":de:","Germany","Schalke 04",24,12.1041666666667
":ch:","Switzerland","Servette FC",30,3.15
":es:","Spain","Sevilla",26,13.3846153846154
":ua:","Ukraine","Shakhtar Donetsk",33,10.4242424242424
":by:","Belarus","Shakhtior Saligorsk",15,1.3
":ie:","Ireland","Shamrock Rovers",29,1.48275862068966
":ie:","Ireland","Shelbourne",16,0.96875
":md:","Moldova","Sheriff Tiraspol",24,3.4375
":am:","Armenia","Shirak Gyumri",14,0.75
":mk:","North Macedonia","Shkendija Tetovo",11,2.09090909090909
":cz:","Czech Republic","Sigma Olomouc",11,3.45454545454545
":ba:","Bosnia-Herzegovina","Siroki Brijeg",17,1.44117647058824
":no:","Norway","SK Brann Bergen",17,2.94117647058824
":lv:","Latvia","Skonto Riga",22,2.13636363636364
":pl:","Poland","Slask Wroclaw",12,3.54166666666667
":cz:","Czech Republic","Slavia Praha",31,6.41935483870968
":bg:","Bulgaria","Slavia Sofia",19,2.44736842105263
":mt:","Malta","Sliema Wanderers",38,0.684210526315789
":ie:","Ireland","Sligo Rovers",10,1
":sk:","Slovakia","Slovan Bratislava",36,3.98611111111111
":cz:","Czech Republic","Slovan Liberec",12,6.45833333333333
":cz:","Czech Republic","Sparta Praha",50,5.97
":ru:","Russia","Spartak Moscow",42,7.54761904761905
":sk:","Slovakia","Spartak Trnava",24,3.97916666666667
":pt:","Portugal","Sporting Braga",24,7.27083333333333
":pt:","Portugal","Sporting CP Lisbon",62,6.48387096774194
":ie:","Ireland","St. Patrick's Athletic",18,1
":fr:","France","Stade Rennais",11,4.90909090909091
":be:","Belgium","Standard Liège",38,6.68421052631579
":ro:","Romania","Steaua Bucuresti",44,6.56818181818182
":no:","Norway","Strømsgodset IF",11,0.818181818181818
":at:","Austria","Sturm Graz",26,3.48076923076923
":lt:","Lithuania","Suduva Marijampole",16,1.75
":me:","Montenegro","Sutjeska Niksic",10,0.7
":al:","Albania","Teuta Durrës",12,0.708333333333333
":gb-wls:","Wales","The New Saints",17,1.35294117647059
":kz:","Kazakhstan","Tobol Kustanai",10,1
":it:","Italy","Torino",19,6.21052631578947
":ge:","Georgia","Torpedo Kutaisi",11,1.09090909090909
":ru:","Russia","Torpedo Moscow",19,4.21052631578947
":gb-eng:","England","Tottenham Hotspur",29,13.3103448275862
":fi:","Finland","TPS Turku",13,1.5
":tr:","Turkey","Trabzonspor",31,3.58064516129032
":sm:","San Marino","Tre Penne",10,0.15
":it:","Italy","Udinese",11,6.59090909090909
":hu:","Hungary","Újpest Dózsa",24,5.16666666666667
":hu:","Hungary","Újpest TE",11,1.81818181818182
":lu:","Luxembourg","Union Luxembourg",21,0.285714285714286
":ro:","Romania","Universitatea Craiova",28,3
":es:","Spain","Valencia",40,12.0875
":no:","Norway","Vålerengens IF",17,1.76470588235294
":mt:","Malta","Valletta FC",39,0.653846153846154
":is:","Iceland","Valur Reykjavik",25,1.02
":mk:","North Macedonia","Vardar Skopje",20,1.525
":hu:","Hungary","Vasas Budapest",14,3.5
":dk:","Denmark","Vejle BK",10,2.4
":de:","Germany","VfB Stuttgart",28,8.125
":hu:","Hungary","Videoton Fehérvár",15,4.06666666666667
":no:","Norway","Viking Stavanger",21,2.38095238095238
":cz:","Czech Republic","Viktoria Plzen",13,7.88461538461539
":es:","Spain","Villarreal",16,15.4375
":nl:","Netherlands","Vitesse Arnhem",15,3.9
":pt:","Portugal","Vitória Guimarães",20,3.2
":pt:","Portugal","Vitória Setúbal",15,4.53333333333333
":al:","Albania","Vllaznia Shkodër",13,1.15384615384615
":rs:","Serbia","Vojvodina Novi Sad",24,2.8125
":at:","Austria","Wacker Innsbruck",14,2.14285714285714
":de:","Germany","Werder Bremen",26,9.26923076923077
":gb-eng:","England","West Ham United",10,7.6
":pl:","Poland","Widzew Lódz",14,4.28571428571429
":at:","Austria","Wiener Sportklub",10,2.9
":pl:","Poland","Wisla Kraków",17,5.32352941176471
":ch:","Switzerland","Xamax Neuchâtel",13,5.07692307692308
":ch:","Switzerland","Young Boys",28,4.71428571428571
":lt:","Lithuania","Zalgiris Vilnius",24,1.77083333333333
":ba:","Bosnia-Herzegovina","Zeljeznicar Sarajevo",19,2.47368421052632
":ru:","Russia","Zenit St. Petersburg",19,12.6315789473684
":md:","Moldova","Zimbru Chisinau",17,2.02941176470588
":ba:","Bosnia-Herzegovina","Zrinjski Mostar",14,2.03571428571429
